ParkName,Year,RecreationVisitors,NonRecreationVisitors,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,TotalRecreationVisitors,TotalNonRecreationVisitors,TotalRecreationHours,TotalNonRecreationHours,TotalConcessionerLodging,TotalConcessionerCamping,TotalTentCampers,TotalRVCampers,TotalBackcountry,TotalNonRecreationOvernightStays,TotalMiscellaneousOvernightStays
Channel Islands NP,1963,"1,200",,,,,,,,,,,"437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1964,"1,500",,,,,,,,,,,"437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1965,"1,600",,,,,,,,,,,"437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1966,300,,,,,,,,,,,"437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1967,"15,700",,,,,,,,,,,"437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1968,"31,000",,,,,,,,,,,"437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1969,"33,100",,,,,,,,,,,"437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1970,"32,000",,,,,,,,,,,"437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1971,"24,400",,,,,,,,,,,"437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1972,"31,947",,,,,,,,,,,"437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1973,"44,700",,,,,,,,,,,"437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1974,"31,000",,,,,,,,,,,"437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1975,"74,400",,,,,,,,,,,"437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1976,"92,600",,,,,,,,,,,"437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1977,"87,200",,,,,,,,,,,"437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1978,"46,416",,,,,,,,,,,"437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1979,"82,937","20,574","627,362","251,678",0,0,"1,938",0,0,"7,560","8,293","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1980,"104,574","31,008","778,147","431,446",0,0,"1,558",0,0,"11,892","10,507","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1981,"87,514","21,903","625,136","272,894",0,0,969,0,0,"7,915","9,694","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1982,"172,287","20,322","788,766","257,328",0,0,"2,173",0,0,"7,522","9,540","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1983,"205,024","22,287","831,148","297,993",0,0,0,0,"1,333","9,225","11,043","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1984,"203,411","22,445","1,718,468","538,804",0,0,0,0,"1,913","22,667","34,346","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1985,"164,132","51,600","1,663,475","1,238,566",0,0,0,0,"1,831","21,575","32,864","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1986,"172,913","53,920","1,775,641","1,294,231",0,0,0,0,"1,891","23,236","35,480","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1987,"174,607","55,075","1,802,980","1,321,946",0,0,0,0,"1,596","23,537","35,969","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1988,"168,592","52,634","1,742,279","1,263,362",0,0,0,0,"1,786","22,565","34,524","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1989,"152,662","47,774","1,579,984","1,146,675",0,0,0,0,"1,805","20,649","31,517","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1990,"144,083","45,343","1,520,869","1,088,378",0,0,0,0,"1,739","20,455","30,426","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1991,"149,263","46,722","1,532,407","1,121,488",0,0,0,0,"1,437","22,981","30,324","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1992,"169,181","53,086","1,765,529","1,274,193",0,0,0,0,"2,330","24,969","26,714","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1993,"184,867","58,098","1,957,567","1,394,462",0,0,0,0,"1,672","28,771","32,928","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1994,"175,226","54,439","1,895,588","1,306,675",0,0,0,0,"1,553","27,520","31,045","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1995,"525,882","35,958","6,742,244","862,992",0,0,0,0,"5,258","54,102","136,205","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1996,"490,715","32,623","5,650,181","782,952",0,0,0,0,"6,165","52,423","85,562","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1997,"488,757","34,764","5,017,592","834,336",0,0,0,0,"9,287","31,930","86,286","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1998,"574,270","41,720","6,501,768","1,001,280",0,0,0,0,"11,314","23,987","93,841","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,1999,"607,057","47,837","7,073,035","1,148,088",0,0,0,0,"9,459","61,415","92,987","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,2000,"482,571","20,213","4,270,140","485,112",0,0,0,0,"10,227","31,731","59,056","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,2001,"520,428","18,206","5,318,089","436,944",0,0,0,0,"10,326","27,246","87,335","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,2002,"613,935","17,773","6,872,196","426,552",0,0,0,0,"13,338","37,362","92,118","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,2003,"585,919","19,835","6,226,806","476,040",0,0,0,0,"15,318","32,736","82,551","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,2004,"537,716","17,155","5,943,183","411,720",0,0,0,0,"17,086","28,412","82,079","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,2005,"434,107","10,855","5,403,121","260,520",0,0,0,0,"19,174","16,099","94,723","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,2006,"375,256","26,603","4,337,180","638,472",0,0,0,0,"17,692","63,656","146,712","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
Channel Islands NP,2007,"360,806","14,249","3,819,496","341,976",0,0,0,0,"17,801","23,070","87,791","437,789,581","8,455,672","5,209,257,180","153,574,429","39,434,625","450,682","35,756,339","22,995,264","8,176,252","909,745","5,437,410"
